id,kind,title,source_url,publisher,published_at,retrieved_at,source_family,license,excerpt,content_hash
nvidia:gb200-product,company_technical_document,NVIDIA GB200 NVL72 product specifications,https://www.nvidia.com/en-us/data-center/gb200-nvl72/,NVIDIA,,2026-07-18T01:49:33Z,nvidia-gb200-documentation,NVIDIA website terms,"NVIDIA reports 36 Grace CPUs, 72 Blackwell GPUs, 13.4 TB HBM3E, and liquid cooling for GB200 NVL72.",
nvidia:dgx-gb-hardware,company_technical_document,NVIDIA DGX GB Rack Scale Systems — Hardware,https://docs.nvidia.com/dgx/dgxgb200-user-guide/hardware.html,NVIDIA,,2026-07-18T01:49:33Z,nvidia-gb200-documentation,NVIDIA documentation terms,"The guide reports 18 compute trays, 9 NVLink switch trays, 2 TOR switches, 4 ConnectX-7 NICs and 2 BlueField-3 DPUs per tray, eight power shelves, and approximately 120 kW rack consumption.",
nvidia:blackwell-tuning,company_technical_document,NVIDIA GB200 NVL Multi-Node Tuning Guide — Grace Blackwell Superchip,https://docs.nvidia.com/multi-node-nvlink-systems/multi-node-tuning-guide/overview.html,NVIDIA,2025-04-21,2026-07-18T01:49:33Z,nvidia-gb200-documentation,NVIDIA documentation terms,NVIDIA describes 72 Blackwell GPUs and two reticle-limited dies per Blackwell GPU on a custom TSMC 4NP process.,
synthetic:capacity,synthetic,Illustrative capacity and yield assumptions,urn:synthetic:gb200-capacity-demo,AI Supply Intelligence demo,2026-07-17,2026-07-18T01:49:33Z,synthetic-demo,CC0-1.0,"All capacity, yield, and platform-share values linked here are deliberately synthetic.",
synthetic:allocation,synthetic,Illustrative customer allocation assumptions,urn:synthetic:gb200-allocation-demo,AI Supply Intelligence demo,2026-07-17,2026-07-18T01:49:33Z,synthetic-demo,CC0-1.0,All customer shares and demand caps linked here are deliberately synthetic.,
synthetic:economics,synthetic,Illustrative supplier economics assumptions,urn:synthetic:gb200-economics-demo,AI Supply Intelligence demo,2026-07-17,2026-07-18T01:49:33Z,synthetic-demo,CC0-1.0,"Revenue per system and gross margin are demonstration inputs, not company guidance or estimates.",
synthetic:consensus,synthetic,Illustrative consensus comparator and opportunity factors,urn:synthetic:gb200-consensus-demo,AI Supply Intelligence demo,2026-07-17,2026-07-18T01:49:33Z,synthetic-demo,CC0-1.0,The comparator and ranking factors are synthetic and must not be represented as sell-side consensus.,
synthetic:abilene-site-allocation,synthetic,Synthetic Abilene-target shipment allocation,urn:synthetic:abilene-site-allocation,AI Supply Intelligence demonstrator,,2026-07-18T04:00:00Z,synthetic-chain-link,,Synthetic allocation used only to make the global-to-site scope transition executable.,
linked-result:manufacturing:2e8c84fe2e38,synthetic,Frozen manufacturing reconciliation result,urn:sha256:2e8c84fe2e385389aea1995bf6d0325cc88601c0ddc460c48070d64ead8cc519,AI Supply Intelligence,2026-07-18T03:22:00Z,2026-07-18T04:00:00Z,ai-supply-frozen-result,,Hash-pinned 2026-Q3 result for blackwell-wafer-hbm-illustrative-2026q3; source scenario synthetic=true.,2e8c84fe2e385389aea1995bf6d0325cc88601c0ddc460c48070d64ead8cc519
linked-result:datacenter_operational:000a0804e1b8,synthetic,Frozen datacenter operational reconciliation result,urn:sha256:000a0804e1b8076de18afec1a1cd3de029abd62c1bdaf200ff09fa7e3717568e,AI Supply Intelligence,2026-07-18T03:00:00Z,2026-07-18T04:00:00Z,ai-supply-frozen-result,,Hash-pinned 2026-Q3 result for datacenter:openai-abilene-net-operational-illustrative-2026q3; source scenario synthetic=true.,000a0804e1b8076de18afec1a1cd3de029abd62c1bdaf200ff09fa7e3717568e
