id,assessment_status,usage,accepted_for_usage,eligible_as_constraint,target_input_path,claim_key,revision_id,claim_value,claim_unit,claim_posture,claim_period,claim_stage,claim_product,claim_dimensions,normalized_low,normalized_base,normalized_high,normalized_unit,blocking_codes,nonbinding_rationale,source_snapshot_ids,snapshot_sha256,selection_sha256
tsmc-wafer-shipments-rejected,rejected,constraint_input,False,False,logic.wafer.wafer_starts,company.tsmc.wafer_shipments.2026q2_wafers,claimrev:787a5271a7ede387fbb8e3b3c2e29d51,4336000,12-inch-equivalent wafer,derived,2026-Q2,wafer_shipment,all products,"{""capacity_basis"":""shipments"",""customer"":""all customers"",""entity_scope"":""company"",""geography"":""global"",""period"":""2026-Q2"",""process_node"":""all process nodes"",""product"":""all products"",""quantity_semantics"":""quarter_total"",""stage"":""wafer_shipment""}",4336000.0,4336000.0,4336000.0,wafer,dimension_mismatch:capacity_basis|dimension_mismatch:customer|dimension_mismatch:entity_scope|dimension_mismatch:period|dimension_mismatch:process_node|dimension_mismatch:product|dimension_mismatch:stage,,snapshot:b3fbb0c860915022b2e634a40b318cc9,e9ca94bd1d698c8203f2bdb7cf7909f9c3481e4abfdc3c2ba67b94e8e0a87e52,0bbf4e858583c4f03e905bd95e8965ffa400dd8f0d1d2e745873be83249c6933
tsmc-wafer-shipments-scale-control,scale_control,scale_control,True,False,references.tsmc_total_wafer_shipments_2026q2,company.tsmc.wafer_shipments.2026q2_wafers,claimrev:787a5271a7ede387fbb8e3b3c2e29d51,4336000,12-inch-equivalent wafer,derived,2026-Q2,wafer_shipment,all products,"{""capacity_basis"":""shipments"",""customer"":""all customers"",""entity_scope"":""company"",""geography"":""global"",""period"":""2026-Q2"",""process_node"":""all process nodes"",""product"":""all products"",""quantity_semantics"":""quarter_total"",""stage"":""wafer_shipment""}",4336000.0,4336000.0,4336000.0,wafer,,Company-wide prior-quarter shipments check scale only and cannot constrain Blackwell wafer starts or package output.,snapshot:b3fbb0c860915022b2e634a40b318cc9,e9ca94bd1d698c8203f2bdb7cf7909f9c3481e4abfdc3c2ba67b94e8e0a87e52,935490c05fc2a04ec9935c6a66b8b39e9b965ea226849dde460efefd74b2f4fa
tsmc-backend-shortage-signal,directional_signal,directional_signal,True,False,research.advanced_packaging.supply_demand_status,company.tsmc.backend.capacity_status.2026q2,claimrev:dd45197127c42f3e4010bfd9c4f408eb,"""shortage_mode""",status,reported,current_as_of_2026-07-16,advanced_packaging,backend services,"{""capacity_basis"":""supply_demand_status"",""customer"":""all customers"",""entity_scope"":""company"",""geography"":""global"",""period"":""current_as_of_2026-07-16"",""process_node"":""all applicable nodes"",""product"":""backend services"",""quantity_semantics"":""point_in_time_status"",""stage"":""advanced_packaging""}",,,,,,"A company-wide shortage status identifies a likely bottleneck family but contains no package starts, product mix, technology split, yield, or customer allocation.",snapshot:4b025304a605152244afbf523098b340,16210c0f4a1f6318222f38bb5e1efc059ccd13eb8c0ef5118ce8d8098955dc4d,fe1f3ce7278d6f8c8ff462c7bc4141446aaf1857e090ac5c77180c738ec58039
tsmc-tester-shortage-signal,directional_signal,directional_signal,True,False,research.final_test.supply_status,company.tsmc.tester.capacity_status.2026q2,claimrev:68c2771e73b2a39b10d171044c861e6b,"""shortage""",status,reported,current_as_of_2026-07-16,final_test,customer products requiring test,"{""capacity_basis"":""supply_status"",""customer"":""all customers"",""entity_scope"":""company"",""geography"":""global"",""period"":""current_as_of_2026-07-16"",""process_node"":""all applicable nodes"",""product"":""customer products requiring test"",""quantity_semantics"":""point_in_time_status"",""stage"":""final_test""}",,,,,,"A broad tester shortage disclosure identifies a bottleneck family but has no product-specific test time, tool fleet, utilization, yield, or allocation quantity.",snapshot:4b025304a605152244afbf523098b340,16210c0f4a1f6318222f38bb5e1efc059ccd13eb8c0ef5118ce8d8098955dc4d,7d53f1f2017f57986de120e6838f0f63d52153e392801a73baeeca161258e313
tsmc-fabs-under-construction-signal,directional_signal,directional_signal,True,False,research.tsmc.taiwan_construction_pipeline,company.tsmc.taiwan.leading_edge_backend_fabs_building_count,claimrev:2af43fe79865071d33a60579379316ca,13,fab,reported,multi_year_from_2026q2,facility_construction,logic wafers and advanced packaging combined,"{""capacity_basis"":""projects_under_construction"",""customer"":""all customers"",""entity_scope"":""company"",""geography"":""Taiwan"",""period"":""multi_year_from_2026q2"",""process_node"":""leading edge and unspecified"",""product"":""logic wafers and advanced packaging combined"",""quantity_semantics"":""point_in_time"",""stage"":""facility_construction""}",,,,,,"A combined multi-year construction count does not identify fab type, completion quarter, qualified capacity, process output, product mix, or customer allocation.",snapshot:4b025304a605152244afbf523098b340,16210c0f4a1f6318222f38bb5e1efc059ccd13eb8c0ef5118ce8d8098955dc4d,102c3d776a15e1ff843ba10651f6df45f8f9830cd182a723a6adc5e258712226
tsmc-capex-guidance-signal,directional_signal,directional_signal,True,False,research.tsmc.annual_capex_guidance,company.tsmc.capex.2026_guidance_usd_billion,claimrev:bb36271b66333689aa8f4fb1055370b3,"{""high"":64,""low"":60}",USD billion,reported,2026,capital_investment,all products,"{""capacity_basis"":""capital_budget"",""customer"":""all customers"",""entity_scope"":""company"",""geography"":""global"",""period"":""2026"",""process_node"":""all process nodes"",""product"":""all products"",""quantity_semantics"":""guidance_range"",""stage"":""capital_investment""}",,,,,,"Company-wide annual capex is a direction-of-investment signal, not quarterly installed, qualified, usable, or NVIDIA-allocated capacity.",snapshot:4b025304a605152244afbf523098b340,16210c0f4a1f6318222f38bb5e1efc059ccd13eb8c0ef5118ce8d8098955dc4d,7c4709defc56858b4124c0ec5dfc6e318031135c03c8accc4a2443e9a37c85e6
tsmc-backend-capex-share-signal,directional_signal,directional_signal,True,False,research.tsmc.backend_capex_bucket_share,company.tsmc.capex.2026_backend_bucket_share,claimrev:582fd336fb46bc8e1ef9d7606407026b,"{""high"":0.2,""low"":0.1}",ratio,reported,2026,capital_investment,all products,"{""capacity_basis"":""capital_budget_share"",""customer"":""all customers"",""entity_scope"":""company"",""geography"":""global"",""period"":""2026"",""process_node"":""all process nodes"",""product"":""all products"",""qualifier"":""advanced packaging, testing, mask making, and other items combined"",""quantity_semantics"":""guidance_range"",""stage"":""capital_investment""}",,,,,,"The disclosed bucket combines advanced packaging, testing, mask making, and other spending and does not establish quarterly product capacity or allocation.",snapshot:4b025304a605152244afbf523098b340,16210c0f4a1f6318222f38bb5e1efc059ccd13eb8c0ef5118ce8d8098955dc4d,9cd66059620ec5b0c55c3d2e72725ddbcd5fa7e77a5e4dc45e625c13aaec766e
micron-hbm4-ramp-speed-signal,directional_signal,directional_signal,True,False,research.hbm4.ramp_speed_vs_hbm3e,company.micron.hbm4_12h.ramp_speed_vs_hbm3e_12h,claimrev:ef095c97e5a60e6a6f2ca9031e207de8,2,ratio,reported,current_as_of_fq3_2026,hbm_manufacturing_ramp,HBM4 12-high,"{""capacity_basis"":""relative_volume_ramp_speed"",""customer"":""all customers"",""entity_scope"":""company"",""geography"":""global"",""period"":""current_as_of_fq3_2026"",""process_node"":""1-beta DRAM"",""product"":""HBM4 12-high"",""qualifier"":""relative to Micron HBM3E 12-high ramp"",""quantity_semantics"":""relative_ratio"",""stage"":""hbm_manufacturing_ramp""}",,,,,,"A relative HBM4 ramp-speed comparison has no absolute wafer, die, stack, yield, or customer-allocation quantity and does not describe GB200 HBM3E supply.",snapshot:2a0a2b2f47785af675afbef8bcc29300,16210c0f4a1f6318222f38bb5e1efc059ccd13eb8c0ef5118ce8d8098955dc4d,20039db9508bdf4936804ac4460f5ecd7630a5bdf2901d4b49350240440562cf
micron-hbm4-revenue-lower-bound-signal,directional_signal,directional_signal,True,False,research.hbm4.cumulative_revenue_lower_bound,company.micron.hbm4.cumulative_revenue_lower_bound_fq3_2026,claimrev:447d272ce642b20b543d641e174ac0a8,1,USD billion,reported,cumulative_through_fq3_2026,hbm_shipment,HBM4 12-high,"{""capacity_basis"":""shipment_revenue"",""customer"":""lead platform customer and other qualified customers not allocated"",""entity_scope"":""company"",""geography"":""global"",""period"":""cumulative_through_fq3_2026"",""process_node"":""1-beta DRAM"",""product"":""HBM4 12-high"",""qualifier"":""strict lower bound"",""quantity_semantics"":""cumulative_lower_bound"",""stage"":""hbm_shipment""}",,,,,,"Revenue confirms commercial HBM4 shipments but cannot be converted into HBM stack counts without price, mix, timing, and customer allocation evidence.",snapshot:2a0a2b2f47785af675afbef8bcc29300,16210c0f4a1f6318222f38bb5e1efc059ccd13eb8c0ef5118ce8d8098955dc4d,e47b881ca5776c66bacd6b3925563e502a7e2183a60848dd0fe6925de2171317
micron-hbm4-shipment-status-signal,directional_signal,directional_signal,True,False,research.hbm4.production_status,company.micron.hbm4.lead_platform_shipment_status_fq3_2026,claimrev:394548070917471158f34b6949445906,"""high_volume_shipments""",status,reported,current_as_of_fq3_2026,hbm_shipment,HBM4,"{""capacity_basis"":""production_status"",""customer"":""lead customer not named in prepared remarks"",""entity_scope"":""company"",""geography"":""global"",""period"":""current_as_of_fq3_2026"",""process_node"":""1-beta DRAM"",""product"":""HBM4"",""quantity_semantics"":""point_in_time_status"",""stage"":""hbm_shipment""}",,,,,,High-volume HBM4 status has no stack count and does not establish HBM3E supply or allocation for GB200.,snapshot:2a0a2b2f47785af675afbef8bcc29300,16210c0f4a1f6318222f38bb5e1efc059ccd13eb8c0ef5118ce8d8098955dc4d,e9d7005ff657d7a23cc4c48c537ecb87cb78eccd28e77ebd1568c7d87144c523
