owner_type,owner_id,parameter,low,base,high,unit,posture,confidence,last_updated,methodology,evidence_ids,confirming_evidence,falsifying_evidence,correlation_group
constraint,linked-material-cleared-supplier-hbm-manufacturing-output,capacity,3227.0710139075877,3718.269397320799,4253.052632242979,system,synthetic,0.3,2026-07-19,"Import manufacturing complete_system_equivalents from frozen result c5c9ca9dbff1355efc381c30b78d20e405a5e7aacccddcfebeb0886634221b8d. The source P10, P50, and P90 are used as triangular low, mode, and high parameters in the linked engine. This preserves the central range but does not preserve source tails, point masses, or joint dependence.",linked-result:manufacturing:c5c9ca9dbff1,"A frozen manufacturing release with the same platform topology, quarter, and material-cleared package-start basis supports the complete-system range.","The source topology or package-start basis differs, the source result is revised, or observed package output falls outside the linked range.",linked:manufacturing:c5c9ca9dbff1:complete_system_equivalents
constraint,linked-material-cleared-supplier-hbm-manufacturing-output,effective_yield,1.0,1.0,1.0,ratio,derived,0.3,2026-07-19,The frozen source output is already post-yield.,linked-result:manufacturing:c5c9ca9dbff1,The frozen source metric remains on the stated post-conversion basis.,The source metric is redefined to require another yield or allocation conversion.,
constraint,linked-material-cleared-supplier-hbm-manufacturing-output,platform_allocation,1.0,1.0,1.0,ratio,derived,0.3,2026-07-19,The frozen source output is already scoped to this linked constraint.,linked-result:manufacturing:c5c9ca9dbff1,The frozen source metric remains on the stated post-conversion basis.,The source metric is redefined to require another yield or allocation conversion.,
constraint,linked-material-cleared-supplier-hbm-manufacturing-output,units_per_system,1.0,1.0,1.0,system,derived,0.3,2026-07-19,Convert the frozen source metric into scenario-system equivalents using 1 system per system.,linked-result:manufacturing:c5c9ca9dbff1,The frozen source metric remains on the stated post-conversion basis.,The source metric is redefined to require another yield or allocation conversion.,
constraint,linked-component-cleared-odm-complete-racks,capacity,270.6608944898074,298.8618612699695,328.27801142439046,rack,synthetic,0.15,2026-07-19,"Import system_assembly complete_racks from frozen result f666d57c9673848d5bb97b28d59ef3c1069236656528c2751105e3b09bbf71a6. The source P10, P50, and P90 are used as triangular low, mode, and high parameters in the linked engine. This preserves the central range but does not preserve source tails, point masses, or joint dependence.",linked-result:system_assembly:f666d57c9673,"A frozen assembly release with matching rack topology, non-overlapping ODM scopes, and declared component-cleared output supports the complete-rack range.","The source topology, ODM scopes, component coverage, or output basis differs, or observed complete-rack output falls outside the linked range.",linked:system_assembly:f666d57c9673:complete_racks
constraint,linked-component-cleared-odm-complete-racks,effective_yield,1.0,1.0,1.0,ratio,derived,0.15,2026-07-19,The frozen source output is already post-yield.,linked-result:system_assembly:f666d57c9673,The frozen source metric remains on the stated post-conversion basis.,The source metric is redefined to require another yield or allocation conversion.,
constraint,linked-component-cleared-odm-complete-racks,platform_allocation,1.0,1.0,1.0,ratio,derived,0.15,2026-07-19,The frozen source output is already scoped to this linked constraint.,linked-result:system_assembly:f666d57c9673,The frozen source metric remains on the stated post-conversion basis.,The source metric is redefined to require another yield or allocation conversion.,
constraint,linked-component-cleared-odm-complete-racks,units_per_system,1.0,1.0,1.0,rack,derived,0.15,2026-07-19,Convert the frozen source metric into scenario-system equivalents using 1 rack per system.,linked-result:system_assembly:f666d57c9673,The frozen source metric remains on the stated post-conversion basis.,The source metric is redefined to require another yield or allocation conversion.,
constraint,factory-qualification,capacity,350.0,430.0,520.0,qualification_slot,synthetic,0.35,2026-07-17,Illustrative quarterly range selected to exercise the reconciliation engine. It is not an estimate of actual supplier capacity.,synthetic:capacity,"Supplier output, tool throughput, utilization, inventory, and shipment evidence support this range.",Verified quarterly output or installed throughput falls outside this range.,system-qualification
constraint,factory-qualification,effective_yield,0.9,0.95,0.98,ratio,synthetic,0.35,2026-07-17,"Illustrative effective yield after process, test, and quality loss; no actual yield claim is made.",synthetic:capacity,Known-good-output and scrap data support the modeled conversion rate.,Supplier or customer qualification data show a materially different effective yield.,system-qualification
constraint,factory-qualification,platform_allocation,1.0,1.0,1.0,ratio,derived,1.0,2026-07-17,Qualification capacity is already scoped to the platform.,synthetic:capacity,The capacity definition remains on the stated post-adjustment basis.,The capacity input is redefined to a pre-yield or pre-allocation basis.,
constraint,factory-qualification,units_per_system,1.0,1.0,1.0,qualification_slot,synthetic,0.35,2026-07-17,One end-to-end factory qualification slot per shipped system.,synthetic:capacity,ODM test flow confirms one slot per rack.,Qualification requires materially different repeated or parallel slots.,
