path,low,base,high,unit,posture,confidence,last_updated,methodology,evidence_ids,confirming_evidence,falsifying_evidence,correlation_group
inputs.logic.wafer.wafer_starts,25000.0,35000.0,45000.0,wafer,synthetic,0.35,2026-07-17,Illustrative quarterly Blackwell logic wafer starts. NVIDIA and TSMC do not disclose this range in the cited documents.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,logic-front-end
inputs.logic.wafer.wafer_diameter_mm,300.0,300.0,300.0,mm,derived,0.96,2026-07-19,"Claim gate conversion: Combine NVIDIA's reported Blackwell 4NP process with TSMC disclosures that its 4nm production uses a 12-inch fab and that TSMC labels the 12-inch GIGAFAB profile as 300mm capacity. Treat 300mm as the nominal semiconductor wafer format, not as an arithmetic conversion of 12 inches. This does not identify Blackwell's fab location, wafer starts, yield, or production volume. Applied multiplier 1 from mm to mm.",snapshot:0b590bdda7bac062b987ed550d181499|snapshot:36f9f5ada639aa4320efe6383271195d|snapshot:3a52fa87274ef1434a926cde7f2cc172,A current NVIDIA or TSMC process-integration document explicitly identifies Blackwell 4NP as a 300mm wafer process.,"NVIDIA or TSMC identifies a non-300mm wafer format for Blackwell 4NP, or NVIDIA identifies a different foundry process for this design.",
inputs.logic.wafer.edge_exclusion_mm,2.0,2.5,3.0,mm,synthetic,0.35,2026-07-17,Illustrative unusable wafer edge used by the gross-die approximation.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,
inputs.logic.wafer.die_width_mm,25.5,26.0,26.0,mm,derived,0.72,2026-07-20,"Claim gate conversion: Interpret NVIDIA's description of each Blackwell logic die as reticle limit against ASML's reported 26mm by 33mm maximum standard full exposure field. Use the short field axis as the model's width coordinate and retain a 0.5mm analyst allowance below the maximum. This is a derived interval, not a reported or teardown-measured die dimension. Applied multiplier 1 from mm to mm.",snapshot:36f9f5ada639aa4320efe6383271195d|snapshot:e715fb7f3649cad3c181aeee1a611575,"A public Blackwell teardown, mask analysis, or floorplan measurement places the short die dimension within the derived interval.","A public die measurement places the Blackwell logic die's short axis outside 25.5mm to 26mm, or NVIDIA clarifies that reticle-limit refers to a different geometry.",logic-geometry
inputs.logic.wafer.die_height_mm,31.0,32.0,33.0,mm,derived,0.68,2026-07-20,"Claim gate conversion: Interpret NVIDIA's description of each Blackwell logic die as reticle limit against ASML's reported 26mm by 33mm maximum standard full exposure field. Use the long field axis as the model's height coordinate and assign a 31mm to 33mm interval around a 32mm base to reflect that reticle-limit does not prove the design occupies the full field. This is a derived interval, not a reported or teardown-measured die dimension. Applied multiplier 1 from mm to mm.",snapshot:36f9f5ada639aa4320efe6383271195d|snapshot:e715fb7f3649cad3c181aeee1a611575,"A public Blackwell teardown, mask analysis, or floorplan measurement places the long die dimension within the derived interval.","A public die measurement places the Blackwell logic die's long axis outside 31mm to 33mm, or NVIDIA clarifies that reticle-limit refers to a different geometry.",logic-geometry
inputs.logic.wafer.scribe_width_mm,0.07,0.1,0.13,mm,synthetic,0.35,2026-07-17,Illustrative scribe width added to both die dimensions.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,
inputs.logic.defect_density_per_cm2,0.05,0.08,0.12,defects/cm2,synthetic,0.35,2026-07-17,Illustrative random-defect density for the negative-binomial yield model.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,logic-yield
inputs.logic.clustering_alpha,2.0,3.0,4.0,alpha,synthetic,0.35,2026-07-17,Illustrative negative-binomial defect-clustering parameter.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,logic-yield
inputs.logic.wafer_sort_yield,0.92,0.96,0.985,ratio,synthetic,0.35,2026-07-17,Illustrative post-defect wafer-sort pass rate.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,logic-yield
inputs.logic.performance_bin_share,0.65,0.78,0.88,ratio,synthetic,0.35,2026-07-17,Illustrative share of known-good logic dies that meet the modeled accelerator bin.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,logic-binning
