owner_type,owner_id,parameter,low,base,high,unit,confidence,last_updated,influence_probability,research_priority,methodology,evidence_ids,confirming_evidence,falsifying_evidence
platform,nvidia-dgx-gb200-nvl72,rack_demand,480.0,620.0,800.0,rack,0.15,2026-07-19,1.0,0.85,Illustrative quarterly rack demand used only to exercise supply sufficiency and shadow-capacity logic.,synthetic:assembly-demand,Customer purchase orders and allocation ledgers support the same quarter and platform demand range.,"Dated orders, cancellations, or allocation records place demand outside the range."
odm,illustrative-odm-a,compute_tray_customer_allocation_share,0.76,0.85,0.93,ratio,0.15,2026-07-19,0.484982375790137,0.41223501942161644,Illustrative customer allocation after platform qualification.,synthetic:assembly-capacity,Allocation ledgers and serialized shipment destinations support the share.,Customer routing records show a materially different allocation.
odm,illustrative-odm-a,rack_customer_allocation_share,0.77,0.86,0.94,ratio,0.15,2026-07-19,0.484982375790137,0.41223501942161644,Illustrative selected-customer allocation of qualified rack output.,synthetic:assembly-capacity,Serialized rack allocation and shipment ledgers support the share.,Allocation or shipment records show a materially different share.
odm,illustrative-odm-a,compute_tray_capacity,3500.0,4300.0,5200.0,tray,0.2,2026-07-19,0.484982375790137,0.3879859006321096,Illustrative gross compute-tray starts for one declared ODM scope; not actual supplier throughput.,synthetic:assembly-capacity,"Line-level starts, station cycle times, shifts, and WIP records support the range.",Verified line output or serialized tray receipts fall outside the range.
odm,illustrative-odm-a,compute_tray_effective_yield,0.88,0.93,0.97,ratio,0.2,2026-07-19,0.484982375790137,0.3879859006321096,Illustrative post-assembly and functional-test tray yield.,synthetic:assembly-capacity,"First-pass yield, rework, scrap, and acceptance records support the range.",Factory quality data show materially different sellable yield.
odm,illustrative-odm-a,compute_tray_platform_qualified_share,0.72,0.82,0.91,ratio,0.2,2026-07-19,0.484982375790137,0.3879859006321096,Illustrative share of good trays qualified for the selected GB200 rack scope.,synthetic:assembly-capacity,Qualification lots and accepted configuration records support the share.,Qualification or configuration records imply a different share.
odm,illustrative-odm-a,rack_integration_capacity,185.0,240.0,305.0,rack,0.2,2026-07-19,0.484982375790137,0.3879859006321096,Illustrative gross rack-integration starts for the declared ODM scope.,synthetic:assembly-capacity,"Rack-station cycle time, shifts, burn-in slots, and WIP support the range.",Verified integrated-rack output falls outside the range.
odm,illustrative-odm-a,rack_integration_effective_yield,0.88,0.94,0.98,ratio,0.2,2026-07-19,0.484982375790137,0.3879859006321096,Illustrative rack integration and factory-test completion yield.,synthetic:assembly-capacity,"Rack bring-up, rework, and acceptance records support the range.",Factory test records show materially different completion yield.
odm,illustrative-odm-a,rack_platform_qualified_share,0.75,0.84,0.92,ratio,0.2,2026-07-19,0.484982375790137,0.3879859006321096,Illustrative share of completed racks passing the selected platform configuration gate.,synthetic:assembly-capacity,Configuration and qualification records support the share.,Factory acceptance records imply a different qualification share.
odm,illustrative-odm-b,compute_tray_customer_allocation_share,0.72,0.82,0.92,ratio,0.15,2026-07-19,0.321953229298602,0.2736602449038117,Illustrative customer allocation after platform qualification.,synthetic:assembly-capacity,Allocation ledgers and serialized shipment destinations support the share.,Customer routing records show a materially different allocation.
odm,illustrative-odm-b,rack_customer_allocation_share,0.73,0.83,0.93,ratio,0.15,2026-07-19,0.321953229298602,0.2736602449038117,Illustrative selected-customer allocation of qualified rack output.,synthetic:assembly-capacity,Serialized rack allocation and shipment ledgers support the share.,Allocation or shipment records show a materially different share.
odm,illustrative-odm-b,compute_tray_capacity,2500.0,3200.0,4050.0,tray,0.2,2026-07-19,0.321953229298602,0.2575625834388816,Illustrative gross compute-tray starts for a second declared ODM scope.,synthetic:assembly-capacity,"Line-level starts, station cycle times, shifts, and WIP records support the range.",Verified line output or serialized tray receipts fall outside the range.
odm,illustrative-odm-b,compute_tray_effective_yield,0.86,0.92,0.97,ratio,0.2,2026-07-19,0.321953229298602,0.2575625834388816,Illustrative post-assembly and functional-test tray yield.,synthetic:assembly-capacity,"First-pass yield, rework, scrap, and acceptance records support the range.",Factory quality data show materially different sellable yield.
odm,illustrative-odm-b,compute_tray_platform_qualified_share,0.68,0.78,0.89,ratio,0.2,2026-07-19,0.321953229298602,0.2575625834388816,Illustrative share of good trays qualified for the selected GB200 rack scope.,synthetic:assembly-capacity,Qualification lots and accepted configuration records support the share.,Qualification or configuration records imply a different share.
