input_path,owner_type,owner_id,parameter,branch,low,base,high,unit,source_posture,confidence,last_updated,influence_probability,influence_method,research_priority,input_status,assessment_ids,blocking_codes,source_replaced,methodology,evidence_ids,confirming_evidence,falsifying_evidence,conditional_on_current_scenario
package.assembly_yield,package,advanced-package-assembly,assembly_yield,package_assembly_starts,0.9,0.95,0.98,ratio,synthetic,0.35,2026-07-17,1.0,Applied to every attempted package,0.65,no_constraint_claim,,,False,Illustrative final advanced-package assembly and test yield.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,True
logic.clustering_alpha,logic_process,logic-yield-and-binning,clustering_alpha,logic_binned_dies,2.0,3.0,4.0,alpha,synthetic,0.35,2026-07-17,0.7075,Current branch binding probability,0.45987500000000003,no_constraint_claim,,,False,Illustrative negative-binomial defect-clustering parameter.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,True
logic.defect_density_per_cm2,logic_process,logic-yield-and-binning,defect_density_per_cm2,logic_binned_dies,0.05,0.08,0.12,defects/cm2,synthetic,0.35,2026-07-17,0.7075,Current branch binding probability,0.45987500000000003,no_constraint_claim,,,False,Illustrative random-defect density for the negative-binomial yield model.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,True
logic.performance_bin_share,logic_process,logic-yield-and-binning,performance_bin_share,logic_binned_dies,0.65,0.78,0.88,ratio,synthetic,0.35,2026-07-17,0.7075,Current branch binding probability,0.45987500000000003,no_constraint_claim,,,False,Illustrative share of known-good logic dies that meet the modeled accelerator bin.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,True
logic.wafer.die_height_mm,logic_wafer,blackwell-logic-wafer,die_height_mm,logic_binned_dies,31.5,32.0,32.5,mm,synthetic,0.35,2026-07-17,0.7075,Current branch binding probability,0.45987500000000003,no_constraint_claim,,,False,Illustrative reticle-scale die height. NVIDIA discloses a reticle-limit design but not dimensions.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,True
logic.wafer.die_width_mm,logic_wafer,blackwell-logic-wafer,die_width_mm,logic_binned_dies,25.5,26.0,26.5,mm,synthetic,0.35,2026-07-17,0.7075,Current branch binding probability,0.45987500000000003,no_constraint_claim,,,False,Illustrative reticle-scale die width. NVIDIA discloses a reticle-limit design but not dimensions.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,True
logic.wafer.edge_exclusion_mm,logic_wafer,blackwell-logic-wafer,edge_exclusion_mm,logic_binned_dies,2.0,2.5,3.0,mm,synthetic,0.35,2026-07-17,0.7075,Current branch binding probability,0.45987500000000003,no_constraint_claim,,,False,Illustrative unusable wafer edge used by the gross-die approximation.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,True
logic.wafer.scribe_width_mm,logic_wafer,blackwell-logic-wafer,scribe_width_mm,logic_binned_dies,0.07,0.1,0.13,mm,synthetic,0.35,2026-07-17,0.7075,Current branch binding probability,0.45987500000000003,no_constraint_claim,,,False,Illustrative scribe width added to both die dimensions.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,True
logic.wafer.wafer_diameter_mm,logic_wafer,blackwell-logic-wafer,wafer_diameter_mm,logic_binned_dies,300.0,300.0,300.0,mm,synthetic,0.35,2026-07-17,0.7075,Current branch binding probability,0.45987500000000003,no_constraint_claim,,,False,Reference 300 mm logic wafer diameter; the cited product documents do not state wafer diameter.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,True
logic.wafer.wafer_starts,logic_wafer,blackwell-logic-wafer,wafer_starts,logic_binned_dies,25000.0,35000.0,45000.0,wafer,synthetic,0.35,2026-07-17,0.7075,Current branch binding probability,0.45987500000000003,scope_rejected_claim,tsmc-wafer-shipments-rejected,dimension_mismatch:capacity_basis|dimension_mismatch:customer|dimension_mismatch:entity_scope|dimension_mismatch:period|dimension_mismatch:process_node|dimension_mismatch:product|dimension_mismatch:stage,False,Illustrative quarterly Blackwell logic wafer starts. NVIDIA and TSMC do not disclose this range in the cited documents.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,True
logic.wafer_sort_yield,logic_process,logic-yield-and-binning,wafer_sort_yield,logic_binned_dies,0.92,0.96,0.985,ratio,synthetic,0.35,2026-07-17,0.7075,Current branch binding probability,0.45987500000000003,no_constraint_claim,,,False,Illustrative post-defect wafer-sort pass rate.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,True
package.assembly_starts,package,advanced-package-assembly,assembly_starts,package_assembly_starts,350000.0,450000.0,550000.0,package,synthetic,0.35,2026-07-17,0.2925,Current branch binding probability,0.190125,no_constraint_claim,,,False,Illustrative quarterly advanced-package assembly starts allocated to the modeled accelerator.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,True
hbm.known_good_die_yield,hbm_process,hbm-die-and-stack,known_good_die_yield,hbm_good_stacks,0.82,0.9,0.95,ratio,synthetic,0.35,2026-07-17,0.0,Current branch binding probability,0.0,no_constraint_claim,,,False,Illustrative HBM known-good memory-die yield after repair and test.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,True
hbm.stack_assembly_yield,hbm_process,hbm-die-and-stack,stack_assembly_yield,hbm_good_stacks,0.88,0.94,0.98,ratio,synthetic,0.35,2026-07-17,0.0,Current branch binding probability,0.0,no_constraint_claim,,,False,Illustrative TSV stack-assembly yield.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,True
hbm.stack_final_test_yield,hbm_process,hbm-die-and-stack,stack_final_test_yield,hbm_good_stacks,0.94,0.975,0.995,ratio,synthetic,0.35,2026-07-17,0.0,Current branch binding probability,0.0,no_constraint_claim,,,False,Illustrative final HBM stack test yield.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,True
hbm.wafer.die_height_mm,hbm_wafer,hbm3e-memory-wafer,die_height_mm,hbm_good_stacks,10.5,11.0,11.5,mm,synthetic,0.35,2026-07-17,0.0,Current branch binding probability,0.0,no_constraint_claim,,,False,Illustrative HBM3E memory-die height; no supplier die dimension is asserted.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,True
