owner_type,owner_id,parameter,low,base,high,unit,posture,confidence,last_updated,methodology,evidence_ids,confirming_evidence,falsifying_evidence,correlation_group
platform,nvidia-dgx-gb200-nvl72,accelerator_packages_per_compute_tray,4.0,4.0,4.0,package/tray,reported,0.99,2026-07-19,NVIDIA reports four Blackwell GPUs in each GB200 compute tray.,nvidia:dgx-gb200-assembly-topology,A current NVIDIA rack BOM reports four accelerator packages per compute tray.,A current DGX GB200 rack BOM reports a different accelerator-package count per tray.,
platform,nvidia-dgx-gb200-nvl72,compute_trays_per_rack,18.0,18.0,18.0,tray/rack,reported,0.99,2026-07-19,NVIDIA reports eighteen compute trays in each DGX GB200 NVL72 rack.,nvidia:dgx-gb200-assembly-topology,A current NVIDIA rack inventory reports eighteen compute trays.,A current DGX GB200 rack inventory reports a different tray count.,
platform,nvidia-dgx-gb200-nvl72,rack_demand,480.0,620.0,800.0,rack,synthetic,0.15,2026-07-19,Illustrative quarterly rack demand used only to exercise supply sufficiency and shadow-capacity logic.,synthetic:assembly-demand,Customer purchase orders and allocation ledgers support the same quarter and platform demand range.,"Dated orders, cancellations, or allocation records place demand outside the range.",gb200-rack-demand
odm,illustrative-odm-a,compute_tray_capacity,3500.0,4300.0,5200.0,tray,synthetic,0.2,2026-07-19,Illustrative gross compute-tray starts for one declared ODM scope; not actual supplier throughput.,synthetic:assembly-capacity,"Line-level starts, station cycle times, shifts, and WIP records support the range.",Verified line output or serialized tray receipts fall outside the range.,odm-a-tray
odm,illustrative-odm-a,compute_tray_effective_yield,0.88,0.93,0.97,ratio,synthetic,0.2,2026-07-19,Illustrative post-assembly and functional-test tray yield.,synthetic:assembly-capacity,"First-pass yield, rework, scrap, and acceptance records support the range.",Factory quality data show materially different sellable yield.,odm-a-tray
odm,illustrative-odm-a,compute_tray_platform_qualified_share,0.72,0.82,0.91,ratio,synthetic,0.2,2026-07-19,Illustrative share of good trays qualified for the selected GB200 rack scope.,synthetic:assembly-capacity,Qualification lots and accepted configuration records support the share.,Qualification or configuration records imply a different share.,odm-a-qualification
odm,illustrative-odm-a,compute_tray_customer_allocation_share,0.76,0.85,0.93,ratio,synthetic,0.15,2026-07-19,Illustrative customer allocation after platform qualification.,synthetic:assembly-capacity,Allocation ledgers and serialized shipment destinations support the share.,Customer routing records show a materially different allocation.,odm-a-allocation
odm,illustrative-odm-a,rack_integration_capacity,185.0,240.0,305.0,rack,synthetic,0.2,2026-07-19,Illustrative gross rack-integration starts for the declared ODM scope.,synthetic:assembly-capacity,"Rack-station cycle time, shifts, burn-in slots, and WIP support the range.",Verified integrated-rack output falls outside the range.,odm-a-rack
odm,illustrative-odm-a,rack_integration_effective_yield,0.88,0.94,0.98,ratio,synthetic,0.2,2026-07-19,Illustrative rack integration and factory-test completion yield.,synthetic:assembly-capacity,"Rack bring-up, rework, and acceptance records support the range.",Factory test records show materially different completion yield.,odm-a-rack
odm,illustrative-odm-a,rack_platform_qualified_share,0.75,0.84,0.92,ratio,synthetic,0.2,2026-07-19,Illustrative share of completed racks passing the selected platform configuration gate.,synthetic:assembly-capacity,Configuration and qualification records support the share.,Factory acceptance records imply a different qualification share.,odm-a-qualification
odm,illustrative-odm-a,rack_customer_allocation_share,0.77,0.86,0.94,ratio,synthetic,0.15,2026-07-19,Illustrative selected-customer allocation of qualified rack output.,synthetic:assembly-capacity,Serialized rack allocation and shipment ledgers support the share.,Allocation or shipment records show a materially different share.,odm-a-allocation
