id,kind,title,source_url,publisher,published_at,retrieved_at,source_family,license,excerpt,content_hash
nvidia:blackwell-launch,company_technical_document,NVIDIA Blackwell Platform Arrives to Power a New Era of Computing,https://nvidianews.nvidia.com/news/nvidia-blackwell-platform-arrives-to-power-a-new-era-of-computing,NVIDIA,2024-03-18,2026-07-18T03:22:00Z,nvidia-blackwell-documentation,NVIDIA website terms,NVIDIA reports a custom TSMC 4NP process and two reticle-limit GPU dies per Blackwell GPU.,
nvidia:gb200-memory,company_technical_document,NVIDIA Transformer Engine CPU offloading documentation,https://docs.nvidia.com/deeplearning/transformer-engine-releases/release-2.15/user-guide/features/other_optimizations/cpu_offloading/cpu_offloading.html,NVIDIA,,2026-07-18T03:22:00Z,nvidia-gb200-documentation,NVIDIA documentation terms,NVIDIA documents 192 GB HBM3E per GB200 Blackwell GPU.,
micron:hbm3e-reference,company_technical_document,Micron HBM3E product specifications,https://www.micron.com/products/memory/hbm/hbm3e,Micron Technology,,2026-07-18T03:22:00Z,micron-hbm3e-documentation,Micron website terms,Micron reports 24 GB capacity for an 8-high HBM3E placement and 36 GB for a 12-high placement.,
nvidia:gb200-product,company_technical_document,NVIDIA GB200 NVL72 product specifications,https://www.nvidia.com/en-us/data-center/gb200-nvl72/,NVIDIA,,2026-07-18T03:22:00Z,nvidia-gb200-documentation,NVIDIA website terms,NVIDIA reports 72 Blackwell GPUs in one GB200 NVL72 rack-scale system.,
tsmc:2026q2-management-report,company_disclosure,TSMC second-quarter 2026 management report,https://investor.tsmc.com/english/encrypt/files/encrypt_file/reports/2026-07/6f49632674bd2d0fd48cb65aaf89ec6ab510b559/2Q26%20ManagementReport.pdf,Taiwan Semiconductor Manufacturing Company,2026-07-16,2026-07-18T03:22:00Z,tsmc-quarterly-results,TSMC website terms,TSMC reports 4.336 million 12-inch-equivalent wafer shipments across the company in 2Q26.,
synthetic:manufacturing-process,synthetic,"Illustrative wafer, yield, binning, and assembly assumptions",urn:synthetic:blackwell-manufacturing-process,AI Supply Intelligence demo,2026-07-17,2026-07-18T03:22:00Z,synthetic-manufacturing-demo,CC0-1.0,"Wafer starts, die geometry, defect density, yield, bin share, supplier allocation, and assembly throughput are synthetic.",
snapshot:0b590bdda7bac062b987ed550d181499,company_technical_document,TSMC GIGAFAB facilities and wafer-format profile,https://www.tsmc.com/english/dedicatedFoundry/manufacturing/gigafab,Taiwan Semiconductor Manufacturing Company,,2026-07-19T20:20:00Z,tsmc-manufacturing-website,TSMC website terms,TSMC describes its 12-inch GIGAFAB profile with a monthly 300mm capacity label and an advanced-node process span.,31cc218b80cba4cc17a1a7c722dfd126ce2f9304a2331bb6ebb90c7447ed7746
snapshot:36f9f5ada639aa4320efe6383271195d,company_technical_document,NVIDIA Blackwell platform launch,https://nvidianews.nvidia.com/news/nvidia-blackwell-platform-arrives-to-power-a-new-era-of-computing,NVIDIA,2024-03-18,2026-07-19T20:20:00Z,nvidia-blackwell-documentation,NVIDIA website terms,NVIDIA identifies Blackwell as manufactured on a custom TSMC 4NP process with two reticle-limit dies.,b188f5033ffc645622449112eba4a3337e4ccf1094ec037cac03ac40874f8103
snapshot:3a52fa87274ef1434a926cde7f2cc172,company_disclosure,TSMC 2025 annual report,https://investor.tsmc.com/static/annualReports/2025/english/index.html,Taiwan Semiconductor Manufacturing Company,2026-03-12,2026-07-19T20:20:00Z,tsmc-annual-report,TSMC website terms,"TSMC reports 4nm volume production at its 12-inch Arizona facility, establishing the foundry process wafer format.",bcfd6959c26599305d14717b5dbb2b167f0e4baee1d2679fe7985a637e006faf
snapshot:e715fb7f3649cad3c181aeee1a611575,company_technical_document,ASML TWINSCAN full-field exposure specification,https://www.asml.com/en/products/duv-lithography-systems/twinscan-nxt2050i,ASML,,2026-07-20T05:25:00Z,asml-lithography-specifications,ASML website terms,ASML specifies a full 26mm by 33mm exposure field for its standard full-field TWINSCAN lithography platform.,bd9a131e897a56b34d11bfd1c9db0a102526abb0288c9c6629d9ccf9b367c5c1
linked-result:hbm-suppliers:a6b2f7061c41,synthetic,Frozen supplier-resolved HBM reconciliation result,urn:sha256:a6b2f7061c41ab7235af4912b028f1777ad7b524caf60f67e0257f9fb64de7ea,AI Supply Intelligence,2026-07-19T23:20:00Z,2026-07-20T05:50:00Z,ai-supply-frozen-hbm-supplier-result,,Hash-pinned 2026-Q3 customer-allocated HBM stack result for blackwell-hbm-supplier-portfolio-illustrative-2026q3; synthetic=true.,a6b2f7061c41ab7235af4912b028f1777ad7b524caf60f67e0257f9fb64de7ea
