owner_type,owner_id,parameter,low,base,high,unit,posture,confidence,last_updated,methodology,evidence_ids,confirming_evidence,falsifying_evidence,correlation_group
platform,nvidia-blackwell-24gb-8high-reference,memory_dies_per_stack,8.0,8.0,8.0,die/stack,reported,0.98,2026-07-19,"NVIDIA describes Blackwell as using 8-Hi HBM3E, while Micron reports an 8-high 24GB HBM3E reference product. This fixes stack height, not supplier mix.",nvidia:blackwell-hbm-height|micron:hbm3e-reference,A Blackwell package BOM or cross-section shows eight memory dies per stack.,A Blackwell product BOM identifies a different physical stack height.,
platform,nvidia-blackwell-24gb-8high-reference,stack_capacity_gb,24.0,24.0,24.0,GB/stack,reported,0.98,2026-07-19,Use Micron's reported 24GB 8-high HBM3E placement as the compatible reference stack. This does not assert Micron supply to Blackwell.,micron:hbm3e-reference,A Blackwell BOM identifies 24GB physical HBM3E placements.,The modeled Blackwell configuration uses a different capacity per placement.,
platform,nvidia-blackwell-24gb-8high-reference,stacks_per_accelerator,8.0,8.0,8.0,stack/accelerator,derived,0.85,2026-07-19,Divide NVIDIA's reported 192GB maximum Blackwell HBM3E capacity by the 24GB reference placement. This derives eight placements without identifying suppliers.,nvidia:blackwell-hbm-capacity|micron:hbm3e-reference,A Blackwell package BOM or cross-section shows eight HBM placements.,A Blackwell product BOM identifies a different placement count or stack capacity.,
platform,nvidia-blackwell-24gb-8high-reference,accelerator_package_demand,300000.0,400000.0,500000.0,package,synthetic,0.3,2026-07-19,Illustrative quarterly demand for Blackwell accelerator packages served by this HBM pool.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.,blackwell-package-demand
supplier_wafer,sk-hynix,wafer_starts,40000.0,55000.0,70000.0,wafer,synthetic,0.3,2026-07-19,Illustrative quarterly sk-hynix HBM3E-compatible wafer starts before platform qualification and customer allocation.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.,sk-hynix-front-end
supplier_wafer,sk-hynix,wafer_diameter_mm,300.0,300.0,300.0,mm,synthetic,0.3,2026-07-19,Unverified reference wafer diameter for sk-hynix; do not infer it from Micron evidence.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.,
supplier_wafer,sk-hynix,edge_exclusion_mm,2.0,2.5,3.0,mm,synthetic,0.3,2026-07-19,Illustrative sk-hynix HBM wafer edge exclusion.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.,
supplier_wafer,sk-hynix,die_width_mm,9.5,10.0,10.5,mm,synthetic,0.3,2026-07-19,Illustrative sk-hynix HBM3E memory-die width.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.,sk-hynix-geometry
supplier_wafer,sk-hynix,die_height_mm,10.5,11.0,11.5,mm,synthetic,0.3,2026-07-19,Illustrative sk-hynix HBM3E memory-die height.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.,sk-hynix-geometry
supplier_wafer,sk-hynix,scribe_width_mm,0.05,0.08,0.11,mm,synthetic,0.3,2026-07-19,Illustrative sk-hynix HBM scribe width.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.,
supplier_process,sk-hynix,known_good_die_yield,0.82,0.9,0.95,ratio,synthetic,0.3,2026-07-19,Illustrative SK hynix known-good HBM memory-die yield after repair and test.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.,sk-hynix-yield
supplier_process,sk-hynix,stack_assembly_yield,0.88,0.94,0.98,ratio,synthetic,0.3,2026-07-19,Illustrative SK hynix HBM3E stack-assembly yield.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.,sk-hynix-stack-yield
supplier_process,sk-hynix,stack_final_test_yield,0.94,0.975,0.995,ratio,synthetic,0.3,2026-07-19,Illustrative SK hynix HBM3E final stack-test yield.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.,sk-hynix-stack-yield
supplier_process,sk-hynix,platform_qualified_share,0.75,0.85,0.92,ratio,synthetic,0.3,2026-07-19,Illustrative share of SK hynix good 24GB 8-high-compatible stacks qualified for Blackwell.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.,sk-hynix-qualification
supplier_process,sk-hynix,customer_allocation_share,0.35,0.45,0.55,ratio,synthetic,0.3,2026-07-19,Illustrative share of SK hynix Blackwell-qualified stacks allocated to NVIDIA Blackwell in 2026-Q3.,synthetic:hbm-supplier-portfolio,"Supplier wafer, yield, qualification, or allocation records support the range.",Verified supplier or customer records place the input outside the range.,sk-hynix-allocation
