owner_type,owner_id,parameter,low,base,high,unit,posture,confidence,last_updated,methodology,evidence_ids,confirming_evidence,falsifying_evidence,correlation_group
constraint,linked-supplier-hbm-draw-manufacturing-output,capacity,3229.960716011132,3717.54225958764,4251.151748623053,system,synthetic,0.3,2026-07-19,"Import manufacturing complete_system_equivalents from frozen result 1379bccc2e6d5599a6af1945e40dfe54106523c075b439303ed2efe83d01333a. The source P10, P50, and P90 are used as triangular low, mode, and high parameters in the linked engine. This preserves the central range but does not preserve source tails, point masses, or joint dependence.",linked-result:manufacturing:1379bccc2e6d,A frozen manufacturing release with the same platform topology and quarter supports the complete-system range.,"The source topology differs from GB200 NVL72, the source result is revised, or observed package output falls outside the linked range.",linked:manufacturing:1379bccc2e6d:complete_system_equivalents
constraint,linked-supplier-hbm-draw-manufacturing-output,effective_yield,1.0,1.0,1.0,ratio,derived,0.3,2026-07-19,The frozen source output is already post-yield.,linked-result:manufacturing:1379bccc2e6d,The frozen source metric remains on the stated post-conversion basis.,The source metric is redefined to require another yield or allocation conversion.,
constraint,linked-supplier-hbm-draw-manufacturing-output,platform_allocation,1.0,1.0,1.0,ratio,derived,0.3,2026-07-19,The frozen source output is already scoped to this linked constraint.,linked-result:manufacturing:1379bccc2e6d,The frozen source metric remains on the stated post-conversion basis.,The source metric is redefined to require another yield or allocation conversion.,
constraint,linked-supplier-hbm-draw-manufacturing-output,units_per_system,1.0,1.0,1.0,system,derived,0.3,2026-07-19,Convert the frozen source metric into scenario-system equivalents using 1 system per system.,linked-result:manufacturing:1379bccc2e6d,The frozen source metric remains on the stated post-conversion basis.,The source metric is redefined to require another yield or allocation conversion.,
constraint,silicon-interposers,capacity,30000.0,38000.0,47000.0,interposer,synthetic,0.35,2026-07-17,Illustrative quarterly range selected to exercise the reconciliation engine. It is not an estimate of actual supplier capacity.,synthetic:capacity,"Supplier output, tool throughput, utilization, inventory, and shipment evidence support this range.",Verified quarterly output or installed throughput falls outside this range.,packaging
constraint,silicon-interposers,effective_yield,0.9,0.94,0.97,ratio,synthetic,0.35,2026-07-17,"Illustrative effective yield after process, test, and quality loss; no actual yield claim is made.",synthetic:capacity,Known-good-output and scrap data support the modeled conversion rate.,Supplier or customer qualification data show a materially different effective yield.,packaging
constraint,silicon-interposers,platform_allocation,0.7,0.78,0.86,ratio,synthetic,0.35,2026-07-17,Illustrative share of the resource available to this platform after competing products and customers.,synthetic:capacity,"Reserved-capacity contracts, prepayments, or observed shipment mix support the platform share.",Allocation disclosures or shipment routing show a materially different platform share.,platform-share
constraint,silicon-interposers,units_per_system,64.0,72.0,80.0,interposer,synthetic,0.35,2026-07-17,Illustrative one-interposer-per-GPU-package abstraction; not a disclosed manufacturing BOM.,synthetic:capacity,Package cross-sections or supplier BOM evidence support the count.,A manufacturing BOM shows a materially different interposer topology.,
constraint,abf-substrates,capacity,39000.0,47000.0,56000.0,substrate,synthetic,0.35,2026-07-17,Illustrative quarterly range selected to exercise the reconciliation engine. It is not an estimate of actual supplier capacity.,synthetic:capacity,"Supplier output, tool throughput, utilization, inventory, and shipment evidence support this range.",Verified quarterly output or installed throughput falls outside this range.,substrates
constraint,abf-substrates,effective_yield,0.92,0.96,0.985,ratio,synthetic,0.35,2026-07-17,"Illustrative effective yield after process, test, and quality loss; no actual yield claim is made.",synthetic:capacity,Known-good-output and scrap data support the modeled conversion rate.,Supplier or customer qualification data show a materially different effective yield.,substrates
constraint,abf-substrates,platform_allocation,0.7,0.79,0.87,ratio,synthetic,0.35,2026-07-17,Illustrative share of the resource available to this platform after competing products and customers.,synthetic:capacity,"Reserved-capacity contracts, prepayments, or observed shipment mix support the platform share.",Allocation disclosures or shipment routing show a materially different platform share.,platform-share
constraint,abf-substrates,units_per_system,64.0,72.0,80.0,substrate,synthetic,0.35,2026-07-17,Illustrative package-substrate requirement; not a disclosed manufacturing BOM.,synthetic:capacity,Supplier BOM evidence supports the count and substrate class.,Package construction uses a materially different substrate count or technology.,
constraint,compute-tray-assembly,capacity,7200.0,8600.0,10200.0,tray,synthetic,0.35,2026-07-17,Illustrative quarterly range selected to exercise the reconciliation engine. It is not an estimate of actual supplier capacity.,synthetic:capacity,"Supplier output, tool throughput, utilization, inventory, and shipment evidence support this range.",Verified quarterly output or installed throughput falls outside this range.,odm
constraint,compute-tray-assembly,effective_yield,0.88,0.93,0.97,ratio,synthetic,0.35,2026-07-17,"Illustrative effective yield after process, test, and quality loss; no actual yield claim is made.",synthetic:capacity,Known-good-output and scrap data support the modeled conversion rate.,Supplier or customer qualification data show a materially different effective yield.,odm
constraint,compute-tray-assembly,platform_allocation,0.86,0.92,0.97,ratio,synthetic,0.35,2026-07-17,Illustrative share of the resource available to this platform after competing products and customers.,synthetic:capacity,"Reserved-capacity contracts, prepayments, or observed shipment mix support the platform share.",Allocation disclosures or shipment routing show a materially different platform share.,platform-share
constraint,compute-tray-assembly,units_per_system,18.0,18.0,18.0,tray,reported,0.98,2026-07-17,NVIDIA reports 18 1RU compute trays per NVL72 rack.,nvidia:dgx-gb-hardware,A current NVIDIA BOM or service manual reports the same configuration.,A current rack BOM reports a different compute-tray count.,
constraint,connectx7-nics,capacity,30000.0,37000.0,45000.0,NIC,synthetic,0.35,2026-07-17,Illustrative quarterly range selected to exercise the reconciliation engine. It is not an estimate of actual supplier capacity.,synthetic:capacity,"Supplier output, tool throughput, utilization, inventory, and shipment evidence support this range.",Verified quarterly output or installed throughput falls outside this range.,networking
constraint,connectx7-nics,effective_yield,0.96,0.98,0.995,ratio,synthetic,0.35,2026-07-17,"Illustrative effective yield after process, test, and quality loss; no actual yield claim is made.",synthetic:capacity,Known-good-output and scrap data support the modeled conversion rate.,Supplier or customer qualification data show a materially different effective yield.,networking
constraint,connectx7-nics,platform_allocation,0.82,0.89,0.95,ratio,synthetic,0.35,2026-07-17,Illustrative share of the resource available to this platform after competing products and customers.,synthetic:capacity,"Reserved-capacity contracts, prepayments, or observed shipment mix support the platform share.",Allocation disclosures or shipment routing show a materially different platform share.,platform-share
constraint,connectx7-nics,units_per_system,72.0,72.0,72.0,NIC,derived,0.85,2026-07-17,18 trays multiplied by four disclosed ConnectX-7 NICs per tray.,nvidia:dgx-gb-hardware,A manufacturing BOM or current NVIDIA system specification supports the conversion.,A current tray BOM reports a different NIC count.,
constraint,bluefield3-dpus,capacity,15500.0,19000.0,23000.0,DPU,synthetic,0.35,2026-07-17,Illustrative quarterly range selected to exercise the reconciliation engine. It is not an estimate of actual supplier capacity.,synthetic:capacity,"Supplier output, tool throughput, utilization, inventory, and shipment evidence support this range.",Verified quarterly output or installed throughput falls outside this range.,networking
constraint,bluefield3-dpus,effective_yield,0.96,0.985,0.997,ratio,synthetic,0.35,2026-07-17,"Illustrative effective yield after process, test, and quality loss; no actual yield claim is made.",synthetic:capacity,Known-good-output and scrap data support the modeled conversion rate.,Supplier or customer qualification data show a materially different effective yield.,networking
constraint,bluefield3-dpus,platform_allocation,0.82,0.89,0.95,ratio,synthetic,0.35,2026-07-17,Illustrative share of the resource available to this platform after competing products and customers.,synthetic:capacity,"Reserved-capacity contracts, prepayments, or observed shipment mix support the platform share.",Allocation disclosures or shipment routing show a materially different platform share.,platform-share
constraint,bluefield3-dpus,units_per_system,36.0,36.0,36.0,DPU,derived,0.85,2026-07-17,18 trays multiplied by two disclosed BlueField-3 DPUs per tray.,nvidia:dgx-gb-hardware,A manufacturing BOM or current NVIDIA system specification supports the conversion.,A current tray BOM reports a different DPU count.,
constraint,nvlink-switch-trays,capacity,3600.0,4400.0,5200.0,switch_tray,synthetic,0.35,2026-07-17,Illustrative quarterly range selected to exercise the reconciliation engine. It is not an estimate of actual supplier capacity.,synthetic:capacity,"Supplier output, tool throughput, utilization, inventory, and shipment evidence support this range.",Verified quarterly output or installed throughput falls outside this range.,networking
constraint,nvlink-switch-trays,effective_yield,0.93,0.97,0.99,ratio,synthetic,0.35,2026-07-17,"Illustrative effective yield after process, test, and quality loss; no actual yield claim is made.",synthetic:capacity,Known-good-output and scrap data support the modeled conversion rate.,Supplier or customer qualification data show a materially different effective yield.,networking
constraint,nvlink-switch-trays,platform_allocation,0.86,0.92,0.97,ratio,synthetic,0.35,2026-07-17,Illustrative share of the resource available to this platform after competing products and customers.,synthetic:capacity,"Reserved-capacity contracts, prepayments, or observed shipment mix support the platform share.",Allocation disclosures or shipment routing show a materially different platform share.,platform-share
constraint,nvlink-switch-trays,units_per_system,9.0,9.0,9.0,switch_tray,reported,0.98,2026-07-17,NVIDIA reports nine NVLink switch trays per NVL72 rack.,nvidia:dgx-gb-hardware,A current NVIDIA BOM or service manual reports the same configuration.,A current rack BOM reports a different switch-tray count.,
constraint,management-tor-switches,capacity,900.0,1150.0,1400.0,switch,synthetic,0.35,2026-07-17,Illustrative quarterly range selected to exercise the reconciliation engine. It is not an estimate of actual supplier capacity.,synthetic:capacity,"Supplier output, tool throughput, utilization, inventory, and shipment evidence support this range.",Verified quarterly output or installed throughput falls outside this range.,networking
constraint,management-tor-switches,effective_yield,0.97,0.99,0.999,ratio,synthetic,0.35,2026-07-17,"Illustrative effective yield after process, test, and quality loss; no actual yield claim is made.",synthetic:capacity,Known-good-output and scrap data support the modeled conversion rate.,Supplier or customer qualification data show a materially different effective yield.,networking
