owner_type,owner_id,parameter,low,base,high,unit,posture,confidence,last_updated,methodology,evidence_ids,confirming_evidence,falsifying_evidence,correlation_group
platform,nvidia-gb200-nvl72,accelerator_packages_per_system,72.0,72.0,72.0,package/system,derived,0.82,2026-07-17,Treats each of the 72 disclosed GPUs as one accelerator package for the portfolio output metric.,nvidia:gb200-product,A manufacturing BOM or current NVIDIA system specification supports the conversion.,A manufacturing BOM uses a different package or module definition.,
platform,nvidia-gb200-nvl72,servers_per_system,18.0,18.0,18.0,server/system,derived,0.95,2026-07-17,Uses 18 compute trays as 18 complete server nodes per rack.,nvidia:gb200-hardware,A manufacturing BOM or current NVIDIA system specification supports the conversion.,A current rack specification reports a different compute-node count.,
platform,nvidia-gb200-nvl72,racks_per_system,1.0,1.0,1.0,rack/system,reported,0.98,2026-07-17,The platform boundary is one NVL72 rack-scale system.,nvidia:gb200-product,A current NVIDIA BOM or service manual reports the same configuration.,The modeled system boundary changes from one rack.,
platform,nvidia-gb200-nvl72,demand,320.0,400.0,480.0,system,synthetic,0.35,2026-07-17,Illustrative quarterly platform demand ceiling; not an order-book estimate.,synthetic:portfolio-policy,Customer commitments and delivery schedules support the demand range.,"Cancellations, substitutions, or order evidence place demand outside the range.",portfolio-demand
platform,nvidia-gb200-nvl72,priority_weight,0.72,0.85,1.0,weight,synthetic,0.35,2026-07-17,Illustrative progressive-allocation weight; not an inferred contract priority.,synthetic:portfolio-policy,"Reserved capacity, prepayments, and supplier allocation records support the weight.",Observed product mix or contractual priority conflicts with the weight.,portfolio-priority
platform,nvidia-gb300-nvl72,accelerator_packages_per_system,72.0,72.0,72.0,package/system,derived,0.82,2026-07-17,Treats each of the 72 disclosed GPUs as one accelerator package for the portfolio output metric.,nvidia:gb300-product,A manufacturing BOM or current NVIDIA system specification supports the conversion.,A manufacturing BOM uses a different package or module definition.,
platform,nvidia-gb300-nvl72,servers_per_system,18.0,18.0,18.0,server/system,derived,0.95,2026-07-17,Uses 18 compute trays as 18 complete server nodes per rack.,nvidia:gb300-components,A manufacturing BOM or current NVIDIA system specification supports the conversion.,A current rack specification reports a different compute-node count.,
platform,nvidia-gb300-nvl72,racks_per_system,1.0,1.0,1.0,rack/system,reported,0.98,2026-07-17,The platform boundary is one NVL72 rack-scale system.,nvidia:gb300-product,A current NVIDIA BOM or service manual reports the same configuration.,The modeled system boundary changes from one rack.,
platform,nvidia-gb300-nvl72,demand,390.0,500.0,610.0,system,synthetic,0.35,2026-07-17,Illustrative quarterly platform demand ceiling; not an order-book estimate.,synthetic:portfolio-policy,Customer commitments and delivery schedules support the demand range.,"Cancellations, substitutions, or order evidence place demand outside the range.",portfolio-demand
platform,nvidia-gb300-nvl72,priority_weight,1.05,1.25,1.48,weight,synthetic,0.35,2026-07-17,Illustrative progressive-allocation weight; not an inferred contract priority.,synthetic:portfolio-policy,"Reserved capacity, prepayments, and supplier allocation records support the weight.",Observed product mix or contractual priority conflicts with the weight.,portfolio-priority
resource_pool,shared-advanced-packaging,capacity,45000.0,55000.0,66000.0,package,synthetic,0.35,2026-07-17,Illustrative quarterly shared-pool range selected to test cross-platform conservation. It is not an estimate of actual supplier capacity.,synthetic:shared-capacity,"Supplier output, installed tool throughput, utilization, and inventory evidence support the pool range.",Verified shared-pool output falls outside the range.,packaging
resource_pool,shared-advanced-packaging,effective_yield,0.88,0.93,0.97,ratio,synthetic,0.35,2026-07-17,Illustrative effective yield applied once to the shared pool.,synthetic:shared-capacity,Known-good-output and scrap evidence support the yield range.,Qualification or output data show a materially different yield.,packaging
resource_pool,shared-hbm3e,capacity,6900.0,8500.0,10300.0,TB,synthetic,0.35,2026-07-17,Illustrative quarterly shared-pool range selected to test cross-platform conservation. It is not an estimate of actual supplier capacity.,synthetic:shared-capacity,"Supplier output, installed tool throughput, utilization, and inventory evidence support the pool range.",Verified shared-pool output falls outside the range.,memory
resource_pool,shared-hbm3e,effective_yield,0.91,0.95,0.98,ratio,synthetic,0.35,2026-07-17,Illustrative effective yield applied once to the shared pool.,synthetic:shared-capacity,Known-good-output and scrap evidence support the yield range.,Qualification or output data show a materially different yield.,memory
