owner_type,owner_id,parameter,low,base,high,unit,posture,confidence,last_updated,methodology,evidence_ids,confirming_evidence,falsifying_evidence,correlation_group
constraint,blackwell-reticle-dies,capacity,150000.0,180000.0,215000.0,die,synthetic,0.35,2026-07-17,Illustrative quarterly range selected to exercise the reconciliation engine. It is not an estimate of actual supplier capacity.,synthetic:capacity,"Supplier output, tool throughput, utilization, inventory, and shipment evidence support this range.",Verified quarterly output or installed throughput falls outside this range.,front-end
constraint,blackwell-reticle-dies,effective_yield,0.62,0.7,0.78,ratio,synthetic,0.35,2026-07-17,"Illustrative effective yield after process, test, and quality loss; no actual yield claim is made.",synthetic:capacity,Known-good-output and scrap data support the modeled conversion rate.,Supplier or customer qualification data show a materially different effective yield.,front-end
constraint,blackwell-reticle-dies,platform_allocation,0.34,0.4,0.47,ratio,synthetic,0.35,2026-07-17,Illustrative share of the resource available to this platform after competing products and customers.,synthetic:capacity,"Reserved-capacity contracts, prepayments, or observed shipment mix support the platform share.",Allocation disclosures or shipment routing show a materially different platform share.,platform-share
constraint,blackwell-reticle-dies,units_per_system,144.0,144.0,144.0,die,derived,0.85,2026-07-17,72 disclosed Blackwell GPUs multiplied by two reticle-limited dies per GPU.,nvidia:blackwell-tuning,A manufacturing BOM or current NVIDIA system specification supports the conversion.,A manufacturing BOM shows a different die count per delivered 72-GPU rack.,
constraint,blackwell-packages,capacity,33000.0,39000.0,46000.0,package,synthetic,0.35,2026-07-17,Illustrative quarterly range selected to exercise the reconciliation engine. It is not an estimate of actual supplier capacity.,synthetic:capacity,"Supplier output, tool throughput, utilization, inventory, and shipment evidence support this range.",Verified quarterly output or installed throughput falls outside this range.,packaging
constraint,blackwell-packages,effective_yield,0.86,0.92,0.96,ratio,synthetic,0.35,2026-07-17,"Illustrative effective yield after process, test, and quality loss; no actual yield claim is made.",synthetic:capacity,Known-good-output and scrap data support the modeled conversion rate.,Supplier or customer qualification data show a materially different effective yield.,packaging
constraint,blackwell-packages,platform_allocation,0.72,0.8,0.88,ratio,synthetic,0.35,2026-07-17,Illustrative share of the resource available to this platform after competing products and customers.,synthetic:capacity,"Reserved-capacity contracts, prepayments, or observed shipment mix support the platform share.",Allocation disclosures or shipment routing show a materially different platform share.,platform-share
constraint,blackwell-packages,units_per_system,72.0,72.0,72.0,package,derived,0.82,2026-07-17,Treats each of the 72 disclosed Blackwell GPUs as one accelerator package for the first platform abstraction.,nvidia:gb200-product,A manufacturing BOM or current NVIDIA system specification supports the conversion.,A manufacturing BOM uses a different package/module definition.,
constraint,hbm3e-capacity,capacity,5500.0,6500.0,7800.0,TB,synthetic,0.35,2026-07-17,Illustrative quarterly range selected to exercise the reconciliation engine. It is not an estimate of actual supplier capacity.,synthetic:capacity,"Supplier output, tool throughput, utilization, inventory, and shipment evidence support this range.",Verified quarterly output or installed throughput falls outside this range.,memory
constraint,hbm3e-capacity,effective_yield,0.91,0.95,0.98,ratio,synthetic,0.35,2026-07-17,"Illustrative effective yield after process, test, and quality loss; no actual yield claim is made.",synthetic:capacity,Known-good-output and scrap data support the modeled conversion rate.,Supplier or customer qualification data show a materially different effective yield.,memory
