owner_type,owner_id,parameter,low,base,high,unit,posture,confidence,last_updated,methodology,evidence_ids,confirming_evidence,falsifying_evidence,correlation_group
line_item,nvidia-illustrative:nvidia-blackwell-accelerators,units_per_source_unit,1.0,1.0,1.0,accelerator/package,synthetic,0.3,2026-07-19,"Illustrative Illustrative Blackwell accelerator revenue units per physical source unit; not a sourced company, consensus, or market estimate.",synthetic:earnings-economics,"A dated, scope-comparable source supports the Illustrative Blackwell accelerator revenue units per physical source unit range.","A dated, scope-comparable source places Illustrative Blackwell accelerator revenue units per physical source unit outside the range.",
line_item,nvidia-illustrative:nvidia-blackwell-accelerators,attributable_share,0.95,1.0,1.0,ratio,synthetic,0.3,2026-07-19,"Illustrative Illustrative Blackwell accelerator revenue supplier attribution; not a sourced company, consensus, or market estimate.",synthetic:earnings-economics,"A dated, scope-comparable source supports the Illustrative Blackwell accelerator revenue supplier attribution range.","A dated, scope-comparable source places Illustrative Blackwell accelerator revenue supplier attribution outside the range.",
line_item,nvidia-illustrative:nvidia-blackwell-accelerators,beginning_inventory_units,20000.0,35000.0,50000.0,accelerator,synthetic,0.3,2026-07-19,"Illustrative Illustrative Blackwell accelerator revenue beginning inventory; not a sourced company, consensus, or market estimate.",synthetic:earnings-economics,"A dated, scope-comparable source supports the Illustrative Blackwell accelerator revenue beginning inventory range.","A dated, scope-comparable source places Illustrative Blackwell accelerator revenue beginning inventory outside the range.",
line_item,nvidia-illustrative:nvidia-blackwell-accelerators,ending_inventory_units,25000.0,40000.0,60000.0,accelerator,synthetic,0.3,2026-07-19,"Illustrative Illustrative Blackwell accelerator revenue ending inventory; not a sourced company, consensus, or market estimate.",synthetic:earnings-economics,"A dated, scope-comparable source supports the Illustrative Blackwell accelerator revenue ending inventory range.","A dated, scope-comparable source places Illustrative Blackwell accelerator revenue ending inventory outside the range.",
line_item,nvidia-illustrative:nvidia-blackwell-accelerators,revenue_recognition_share,0.85,0.93,0.98,ratio,synthetic,0.3,2026-07-19,"Illustrative Illustrative Blackwell accelerator revenue current-quarter recognition share; not a sourced company, consensus, or market estimate.",synthetic:earnings-economics,"A dated, scope-comparable source supports the Illustrative Blackwell accelerator revenue current-quarter recognition share range.","A dated, scope-comparable source places Illustrative Blackwell accelerator revenue current-quarter recognition share outside the range.",
line_item,nvidia-illustrative:nvidia-blackwell-accelerators,unit_price_local,25000.0,32000.0,39000.0,USD/accelerator,synthetic,0.3,2026-07-19,"Illustrative Illustrative Blackwell accelerator revenue unit price; not a sourced company, consensus, or market estimate.",synthetic:earnings-economics,"A dated, scope-comparable source supports the Illustrative Blackwell accelerator revenue unit price range.","A dated, scope-comparable source places Illustrative Blackwell accelerator revenue unit price outside the range.",
line_item,nvidia-illustrative:nvidia-blackwell-accelerators,fx_usd_per_local,1.0,1.0,1.0,USD/USD,synthetic,0.3,2026-07-19,"Illustrative Illustrative Blackwell accelerator revenue USD conversion; not a sourced company, consensus, or market estimate.",synthetic:earnings-economics,"A dated, scope-comparable source supports the Illustrative Blackwell accelerator revenue USD conversion range.","A dated, scope-comparable source places Illustrative Blackwell accelerator revenue USD conversion outside the range.",
line_item,nvidia-illustrative:nvidia-blackwell-accelerators,gross_margin,0.65,0.72,0.76,ratio,synthetic,0.3,2026-07-19,"Illustrative Illustrative Blackwell accelerator revenue gross margin; not a sourced company, consensus, or market estimate.",synthetic:earnings-economics,"A dated, scope-comparable source supports the Illustrative Blackwell accelerator revenue gross margin range.","A dated, scope-comparable source places Illustrative Blackwell accelerator revenue gross margin outside the range.",
company,nvidia-illustrative,rest_of_company_revenue,42000000000.0,48000000000.0,55000000000.0,USD,synthetic,0.3,2026-07-19,"Illustrative NVDA rest-of-company quarterly revenue; not a sourced company, consensus, or market estimate.",synthetic:earnings-economics,"A dated, scope-comparable source supports the NVDA rest-of-company quarterly revenue range.","A dated, scope-comparable source places NVDA rest-of-company quarterly revenue outside the range.",nvda-company-demand
company,nvidia-illustrative,rest_of_company_gross_margin,0.68,0.72,0.75,ratio,synthetic,0.3,2026-07-19,"Illustrative NVDA rest-of-company gross margin; not a sourced company, consensus, or market estimate.",synthetic:earnings-economics,"A dated, scope-comparable source supports the NVDA rest-of-company gross margin range.","A dated, scope-comparable source places NVDA rest-of-company gross margin outside the range.",
company,nvidia-illustrative,operating_expenses,6000000000.0,6500000000.0,7200000000.0,USD,synthetic,0.3,2026-07-19,"Illustrative NVDA quarterly operating expenses; not a sourced company, consensus, or market estimate.",synthetic:earnings-economics,"A dated, scope-comparable source supports the NVDA quarterly operating expenses range.","A dated, scope-comparable source places NVDA quarterly operating expenses outside the range.",
company,nvidia-illustrative,net_nonoperating_expense,0.0,200000000.0,500000000.0,USD,synthetic,0.3,2026-07-19,"Illustrative NVDA quarterly net nonoperating expense; not a sourced company, consensus, or market estimate.",synthetic:earnings-economics,"A dated, scope-comparable source supports the NVDA quarterly net nonoperating expense range.","A dated, scope-comparable source places NVDA quarterly net nonoperating expense outside the range.",
company,nvidia-illustrative,tax_rate,0.15,0.17,0.2,ratio,synthetic,0.3,2026-07-19,"Illustrative NVDA effective tax rate; not a sourced company, consensus, or market estimate.",synthetic:earnings-economics,"A dated, scope-comparable source supports the NVDA effective tax rate range.","A dated, scope-comparable source places NVDA effective tax rate outside the range.",
company,nvidia-illustrative,diluted_shares,23500000000.0,24000000000.0,24500000000.0,share,synthetic,0.3,2026-07-19,"Illustrative NVDA diluted share count; not a sourced company, consensus, or market estimate.",synthetic:earnings-economics,"A dated, scope-comparable source supports the NVDA diluted share count range.","A dated, scope-comparable source places NVDA diluted share count outside the range.",
consensus,nvidia-illustrative,revenue,53000000000.0,56000000000.0,59000000000.0,USD,synthetic,0.3,2026-07-19,"Illustrative NVDA same-quarter consensus revenue comparator; not a sourced company, consensus, or market estimate.",synthetic:consensus-market,"A dated, scope-comparable source supports the NVDA same-quarter consensus revenue comparator range.","A dated, scope-comparable source places NVDA same-quarter consensus revenue comparator outside the range.",
consensus,nvidia-illustrative,eps,1.0,1.1,1.2,USD/share,synthetic,0.3,2026-07-19,"Illustrative NVDA same-quarter consensus EPS comparator; not a sourced company, consensus, or market estimate.",synthetic:consensus-market,"A dated, scope-comparable source supports the NVDA same-quarter consensus EPS comparator range.","A dated, scope-comparable source places NVDA same-quarter consensus EPS comparator outside the range.",
market_snapshot,nvidia-illustrative,price,160.0,175.0,190.0,USD/share,synthetic,0.3,2026-07-19,"Illustrative NVDA share price; not a sourced company, consensus, or market estimate.",synthetic:consensus-market,"A dated, scope-comparable source supports the NVDA share price range.","A dated, scope-comparable source places NVDA share price outside the range.",
market_snapshot,nvidia-illustrative,next_twelve_month_eps,5.5,6.2,7.0,USD/share,synthetic,0.3,2026-07-19,"Illustrative NVDA next-twelve-month EPS; not a sourced company, consensus, or market estimate.",synthetic:consensus-market,"A dated, scope-comparable source supports the NVDA next-twelve-month EPS range.","A dated, scope-comparable source places NVDA next-twelve-month EPS outside the range.",
market_snapshot,nvidia-illustrative,market_cap,3800000000000.0,4200000000000.0,4600000000000.0,USD,synthetic,0.3,2026-07-19,"Illustrative NVDA market capitalization; not a sourced company, consensus, or market estimate.",synthetic:consensus-market,"A dated, scope-comparable source supports the NVDA market capitalization range.","A dated, scope-comparable source places NVDA market capitalization outside the range.",
opportunity,nvidia-illustrative,confidence,0.2,0.3,0.4,ratio,synthetic,0.3,2026-07-19,"Illustrative NVDA research confidence; not a sourced company, consensus, or market estimate.",synthetic:opportunity,"A dated, scope-comparable source supports the NVDA research confidence range.","A dated, scope-comparable source places NVDA research confidence outside the range.",
opportunity,nvidia-illustrative,evidence_readiness,0.05,0.1,0.2,ratio,synthetic,0.3,2026-07-19,"Illustrative NVDA evidence readiness; not a sourced company, consensus, or market estimate.",synthetic:opportunity,"A dated, scope-comparable source supports the NVDA evidence readiness range.","A dated, scope-comparable source places NVDA evidence readiness outside the range.",
opportunity,nvidia-illustrative,liquidity,0.9,0.95,1.0,ratio,synthetic,0.3,2026-07-19,"Illustrative NVDA liquidity factor; not a sourced company, consensus, or market estimate.",synthetic:opportunity,"A dated, scope-comparable source supports the NVDA liquidity factor range.","A dated, scope-comparable source places NVDA liquidity factor outside the range.",
opportunity,nvidia-illustrative,catalyst_proximity,0.7,0.85,0.95,ratio,synthetic,0.3,2026-07-19,"Illustrative NVDA catalyst proximity; not a sourced company, consensus, or market estimate.",synthetic:opportunity,"A dated, scope-comparable source supports the NVDA catalyst proximity range.","A dated, scope-comparable source places NVDA catalyst proximity outside the range.",
opportunity,nvidia-illustrative,downside_resilience,0.2,0.35,0.5,ratio,synthetic,0.3,2026-07-19,"Illustrative NVDA downside resilience; not a sourced company, consensus, or market estimate.",synthetic:opportunity,"A dated, scope-comparable source supports the NVDA downside resilience range.","A dated, scope-comparable source places NVDA downside resilience outside the range.",
line_item,micron-illustrative:micron-hbm-stacks,units_per_source_unit,1.0,1.0,1.0,HBM-stack/stack,synthetic,0.3,2026-07-19,"Illustrative Illustrative HBM stack revenue units per physical source unit; not a sourced company, consensus, or market estimate.",synthetic:earnings-economics,"A dated, scope-comparable source supports the Illustrative HBM stack revenue units per physical source unit range.","A dated, scope-comparable source places Illustrative HBM stack revenue units per physical source unit outside the range.",
line_item,micron-illustrative:micron-hbm-stacks,attributable_share,0.2,0.3,0.4,ratio,synthetic,0.3,2026-07-19,"Illustrative Illustrative HBM stack revenue supplier attribution; not a sourced company, consensus, or market estimate.",synthetic:earnings-economics,"A dated, scope-comparable source supports the Illustrative HBM stack revenue supplier attribution range.","A dated, scope-comparable source places Illustrative HBM stack revenue supplier attribution outside the range.",
line_item,micron-illustrative:micron-hbm-stacks,beginning_inventory_units,100000.0,200000.0,350000.0,HBM-stack,synthetic,0.3,2026-07-19,"Illustrative Illustrative HBM stack revenue beginning inventory; not a sourced company, consensus, or market estimate.",synthetic:earnings-economics,"A dated, scope-comparable source supports the Illustrative HBM stack revenue beginning inventory range.","A dated, scope-comparable source places Illustrative HBM stack revenue beginning inventory outside the range.",
line_item,micron-illustrative:micron-hbm-stacks,ending_inventory_units,150000.0,250000.0,450000.0,HBM-stack,synthetic,0.3,2026-07-19,"Illustrative Illustrative HBM stack revenue ending inventory; not a sourced company, consensus, or market estimate.",synthetic:earnings-economics,"A dated, scope-comparable source supports the Illustrative HBM stack revenue ending inventory range.","A dated, scope-comparable source places Illustrative HBM stack revenue ending inventory outside the range.",
line_item,micron-illustrative:micron-hbm-stacks,revenue_recognition_share,0.8,0.9,0.98,ratio,synthetic,0.3,2026-07-19,"Illustrative Illustrative HBM stack revenue current-quarter recognition share; not a sourced company, consensus, or market estimate.",synthetic:earnings-economics,"A dated, scope-comparable source supports the Illustrative HBM stack revenue current-quarter recognition share range.","A dated, scope-comparable source places Illustrative HBM stack revenue current-quarter recognition share outside the range.",
line_item,micron-illustrative:micron-hbm-stacks,unit_price_local,1800.0,2400.0,3000.0,USD/HBM-stack,synthetic,0.3,2026-07-19,"Illustrative Illustrative HBM stack revenue unit price; not a sourced company, consensus, or market estimate.",synthetic:earnings-economics,"A dated, scope-comparable source supports the Illustrative HBM stack revenue unit price range.","A dated, scope-comparable source places Illustrative HBM stack revenue unit price outside the range.",
line_item,micron-illustrative:micron-hbm-stacks,fx_usd_per_local,1.0,1.0,1.0,USD/USD,synthetic,0.3,2026-07-19,"Illustrative Illustrative HBM stack revenue USD conversion; not a sourced company, consensus, or market estimate.",synthetic:earnings-economics,"A dated, scope-comparable source supports the Illustrative HBM stack revenue USD conversion range.","A dated, scope-comparable source places Illustrative HBM stack revenue USD conversion outside the range.",
line_item,micron-illustrative:micron-hbm-stacks,gross_margin,0.45,0.55,0.62,ratio,synthetic,0.3,2026-07-19,"Illustrative Illustrative HBM stack revenue gross margin; not a sourced company, consensus, or market estimate.",synthetic:earnings-economics,"A dated, scope-comparable source supports the Illustrative HBM stack revenue gross margin range.","A dated, scope-comparable source places Illustrative HBM stack revenue gross margin outside the range.",
