owner_type,owner_id,parameter,low,base,high,unit,posture,confidence,last_updated,methodology,evidence_ids,confirming_evidence,falsifying_evidence,correlation_group
logic_wafer,blackwell-logic-wafer,wafer_starts,25000.0,35000.0,45000.0,wafer,synthetic,0.35,2026-07-17,Illustrative quarterly Blackwell logic wafer starts. NVIDIA and TSMC do not disclose this range in the cited documents.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,logic-front-end
logic_wafer,blackwell-logic-wafer,wafer_diameter_mm,300.0,300.0,300.0,mm,derived,0.96,2026-07-19,"Claim gate conversion: Combine NVIDIA's reported Blackwell 4NP process with TSMC disclosures that its 4nm production uses a 12-inch fab and that TSMC labels the 12-inch GIGAFAB profile as 300mm capacity. Treat 300mm as the nominal semiconductor wafer format, not as an arithmetic conversion of 12 inches. This does not identify Blackwell's fab location, wafer starts, yield, or production volume. Applied multiplier 1 from mm to mm.",snapshot:0b590bdda7bac062b987ed550d181499|snapshot:36f9f5ada639aa4320efe6383271195d|snapshot:3a52fa87274ef1434a926cde7f2cc172,A current NVIDIA or TSMC process-integration document explicitly identifies Blackwell 4NP as a 300mm wafer process.,"NVIDIA or TSMC identifies a non-300mm wafer format for Blackwell 4NP, or NVIDIA identifies a different foundry process for this design.",
logic_wafer,blackwell-logic-wafer,edge_exclusion_mm,2.0,2.5,3.0,mm,synthetic,0.35,2026-07-17,Illustrative unusable wafer edge used by the gross-die approximation.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,
logic_wafer,blackwell-logic-wafer,die_width_mm,25.5,26.0,26.5,mm,synthetic,0.35,2026-07-17,Illustrative reticle-scale die width. NVIDIA discloses a reticle-limit design but not dimensions.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,logic-geometry
logic_wafer,blackwell-logic-wafer,die_height_mm,31.5,32.0,32.5,mm,synthetic,0.35,2026-07-17,Illustrative reticle-scale die height. NVIDIA discloses a reticle-limit design but not dimensions.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,logic-geometry
logic_wafer,blackwell-logic-wafer,scribe_width_mm,0.07,0.1,0.13,mm,synthetic,0.35,2026-07-17,Illustrative scribe width added to both die dimensions.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,
logic_process,logic-yield-and-binning,defect_density_per_cm2,0.05,0.08,0.12,defects/cm2,synthetic,0.35,2026-07-17,Illustrative random-defect density for the negative-binomial yield model.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,logic-yield
logic_process,logic-yield-and-binning,clustering_alpha,2.0,3.0,4.0,alpha,synthetic,0.35,2026-07-17,Illustrative negative-binomial defect-clustering parameter.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,logic-yield
logic_process,logic-yield-and-binning,wafer_sort_yield,0.92,0.96,0.985,ratio,synthetic,0.35,2026-07-17,Illustrative post-defect wafer-sort pass rate.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,logic-yield
logic_process,logic-yield-and-binning,performance_bin_share,0.65,0.78,0.88,ratio,synthetic,0.35,2026-07-17,Illustrative share of known-good logic dies that meet the modeled accelerator bin.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,logic-binning
hbm_wafer,hbm3e-memory-wafer,wafer_starts,90000.0,120000.0,150000.0,wafer,synthetic,0.35,2026-07-17,Illustrative combined HBM3E memory wafer starts before supplier and product allocation.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,hbm-front-end
hbm_wafer,hbm3e-memory-wafer,wafer_diameter_mm,300.0,300.0,300.0,mm,synthetic,0.35,2026-07-17,Reference 300 mm DRAM wafer diameter; the cited product page does not disclose fab geometry.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,
hbm_wafer,hbm3e-memory-wafer,edge_exclusion_mm,2.0,2.5,3.0,mm,synthetic,0.35,2026-07-17,Illustrative HBM wafer edge exclusion.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,
hbm_wafer,hbm3e-memory-wafer,die_width_mm,9.5,10.0,10.5,mm,synthetic,0.35,2026-07-17,Illustrative HBM3E memory-die width; no supplier die dimension is asserted.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,hbm-geometry
hbm_wafer,hbm3e-memory-wafer,die_height_mm,10.5,11.0,11.5,mm,synthetic,0.35,2026-07-17,Illustrative HBM3E memory-die height; no supplier die dimension is asserted.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,hbm-geometry
hbm_wafer,hbm3e-memory-wafer,scribe_width_mm,0.05,0.08,0.11,mm,synthetic,0.35,2026-07-17,Illustrative HBM scribe width.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,
hbm_process,hbm-die-and-stack,known_good_die_yield,0.82,0.9,0.95,ratio,synthetic,0.35,2026-07-17,Illustrative HBM known-good memory-die yield after repair and test.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,hbm-yield
hbm_process,hbm-die-and-stack,memory_dies_per_stack,8.0,8.0,8.0,die/stack,reported,0.98,2026-07-17,Uses Micron's disclosed 24 GB 8-high HBM3E product as a reference stack. It does not assert Micron supply to GB200.,micron:hbm3e-reference,A current NVIDIA BOM or service manual reports the same configuration.,A GB200 manufacturing BOM uses a different HBM layer count or capacity per placement.,
hbm_process,hbm-die-and-stack,stack_assembly_yield,0.88,0.94,0.98,ratio,synthetic,0.35,2026-07-17,Illustrative TSV stack-assembly yield.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,hbm-stack-yield
hbm_process,hbm-die-and-stack,stack_final_test_yield,0.94,0.975,0.995,ratio,synthetic,0.35,2026-07-17,Illustrative final HBM stack test yield.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,hbm-stack-yield
hbm_process,hbm-die-and-stack,stack_capacity_gb,24.0,24.0,24.0,GB/stack,reported,0.98,2026-07-17,Uses Micron's disclosed 24 GB 8-high HBM3E product as a reference placement.,micron:hbm3e-reference,A current NVIDIA BOM or service manual reports the same configuration.,The selected GB200 configuration uses a different capacity per HBM placement.,
hbm_process,hbm-die-and-stack,stacks_per_accelerator,8.0,8.0,8.0,stack/accelerator,derived,0.82,2026-07-17,Divides NVIDIA's 192 GB per GB200 GPU by the 24 GB reference HBM3E placement. This derives eight placements and does not identify the memory supplier.,nvidia:gb200-memory|micron:hbm3e-reference,A current product BOM reports the same physical topology.,A product BOM reports a different placement count or stack capacity.,
package,advanced-package-assembly,assembly_starts,350000.0,450000.0,550000.0,package,synthetic,0.35,2026-07-17,Illustrative quarterly advanced-package assembly starts allocated to the modeled accelerator.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,package-assembly
package,advanced-package-assembly,assembly_yield,0.9,0.95,0.98,ratio,synthetic,0.35,2026-07-17,Illustrative final advanced-package assembly and test yield.,synthetic:manufacturing-process,"Supplier wafer starts, process-control, yield, binning, or assembly records support the range.",Verified production or process data place the input outside the range.,package-assembly
package,advanced-package-assembly,logic_dies_per_accelerator,2.0,2.0,2.0,die/accelerator,reported,0.98,2026-07-17,Uses NVIDIA's disclosure of two reticle-limit GPU dies in one Blackwell GPU.,nvidia:blackwell-launch,A current NVIDIA BOM or service manual reports the same configuration.,A product teardown or manufacturing BOM reports a different logic-die count.,
package,advanced-package-assembly,accelerators_per_system,72.0,72.0,72.0,accelerator/system,reported,0.98,2026-07-17,Uses NVIDIA's disclosure of 72 Blackwell GPUs per GB200 NVL72.,nvidia:gb200-product,A current NVIDIA BOM or service manual reports the same configuration.,A current NVIDIA rack BOM reports a different GPU count.,
reference,external-scale-controls,tsmc-total-wafer-shipments-2026q2,4336000.0,4336000.0,4336000.0,wafer,reported,0.98,2026-07-17,"Uses TSMC's reported 2Q26 company-wide 12-inch-equivalent wafer shipments as a prior-quarter scale control. It does not isolate 4NP, NVIDIA, or Blackwell.",tsmc:2026q2-management-report,A current NVIDIA BOM or service manual reports the same configuration.,TSMC revises the reported 2Q26 shipment total or changes its unit basis.,
